id,rooms,area,rent,latitude,longitude
5231651,3,69,5000,55.635296,12.642434
5230519,1,84,4451,55.700997,12.551421
5159265,3,70,9152,55.720895,12.473638
5234646,1,38,6000,55.668985,12.579977
5242798,2,68,10800,55.632422,12.576245
5121283,3,80,12823,55.657161,12.500471
5211190,3,89,10500,55.670768,12.452505
5241712,5,152,16052,55.606586,12.593683
5238576,2,58,12000,55.708968,12.583703
5142344,3,95,11000,55.695855,12.572995
5197343,1,41,4478,55.618704,12.573169
5242854,4,130,22100,55.671061,12.583902
5211187,1,40,6300,55.649554,12.551497
5049672,1,41,6386,55.652406,12.512200
5181554,4,95,14000,55.697442,12.538697
5205859,2,56,8403,55.692219,12.500871
5184679,3,69,9074,55.721015,12.472446
5242841,2,71,11950,55.682748,12.455784
5188889,1,8,4100,55.695462,12.524558
5241626,1,31,7600,55.655747,12.511606
5231652,1,16,3600,55.673427,12.596042
5220617,1,20,3500,55.671652,12.575306
5036698,1,37,5122,55.667178,12.620381
5175435,1,31,6136,55.646324,12.635889
5241220,1,38,8600,55.712077,12.575295
5228612,2,58,8500,55.649305,12.528735
5241631,1,35,6800,55.711297,12.480605
5020108,4,134,17750,55.686692,12.511245
5129093,2,61,9564,55.678003,12.496194
5042716,1,35,7539,55.713941,12.559926
5238499,1,27,6760,55.646395,12.637199
5242664,3,80,13600,55.639789,12.582016
5227253,5,118,13000,55.709630,12.576866
5241622,1,28,7850,55.681189,12.518624
5242789,1,31,7200,55.703613,12.553748
5242649,1,40,9600,55.660626,12.613696
5241260,1,45,8300,55.711297,12.480605
5241358,2,65,12200,55.636558,12.580429
5061339,2,54,12700,55.664897,12.536063
5230510,3,122,14000,55.684919,12.614788
5243071,2,74,10995,55.705021,12.433236
5243034,4,101,14975,55.677015,12.433977
5133110,2,45,11900,55.692065,12.534752
5181575,4,105,14859,55.657196,12.500426
5243080,2,74,11000,55.705020,12.433231
5243074,2,73,11495,55.705020,12.433231
5243078,2,55,10500,55.705020,12.433231
5243096,2,79,11495,55.705020,12.433231
5243084,2,55,10500,55.705114,12.435315
5243029,4,101,15100,55.677077,12.434502
5241114,4,131,17000,55.733686,12.564141
5243077,2,80,11495,55.705114,12.435315
5121291,2,66,11838,55.656761,12.503792
5243081,2,80,11495,55.705020,12.433231
5243014,3,66,12950,55.618372,12.573111
5243015,3,66,13750,55.618372,12.573111
4933804,3,83,12267,55.621063,12.573203
5239422,2,59,11700,55.638214,12.580920
5242989,2,67,13900,55.663155,12.623858
5242991,4,111,16400,55.662842,12.626915
5112271,3,91,12297,55.617810,12.572924
5242992,2,67,13000,55.663155,12.623858
5242994,4,102,13900,55.617746,12.567919
5243024,4,101,15200,55.677092,12.433984
5085150,1,27,5590,55.741074,12.485863
5243016,2,63,12800,55.618372,12.573111
5242982,3,83,12750,55.676449,12.436417
5242990,2,67,13700,55.663155,12.623858
5231649,2,55,9900,55.711877,12.560336
5242975,4,222,38200,55.680634,12.588782
5242981,4,105,14500,55.671176,12.472884
5243013,2,63,13400,55.618372,12.573111
5231666,1,15,3900,55.715922,12.535498
5241135,2,43,10250,55.651556,12.511923
5231636,2,50,9000,55.691091,12.469077
5179639,1,40,8200,55.653722,12.603179
5242935,3,89,13350,55.676419,12.436414
5158560,3,84,12950,55.651388,12.555460
5242920,4,113,17982,55.658853,12.559362
5024243,4,107,14500,55.635753,12.580312
5242937,4,115,16770,55.652386,12.511991
5062039,2,86,12000,55.700269,12.545727
5238607,1,50,8995,55.732809,12.565759
5241617,1,31,7800,55.664247,12.518557
5127687,4,96,13000,55.626185,12.576225
5217949,3,94,14850,55.659896,12.570050
5143983,3,102,14035,55.698748,12.535320
5234828,3,73,11000,55.663465,12.542260
5242922,2,96,14539,55.684060,12.515149
5242967,4,134,22900,55.695721,12.573927
5242862,2,83,12500,55.682748,12.455784
5242860,2,74,12400,55.682748,12.455784
5242857,3,99,13600,55.682748,12.455784
5242861,2,74,12500,55.682748,12.455784
5242873,5,147,21500,55.648393,12.553017
5242870,2,65,10950,55.682748,12.455784
5242863,2,74,12200,55.682748,12.455784
5242867,4,106,14800,55.682748,12.455784
5242868,3,87,13100,55.682748,12.455784
5242871,3,87,13100,55.682748,12.455784
5242866,4,112,15000,55.682748,12.455784
5242869,3,101,13700,55.682748,12.455784
5242875,4,110,16300,55.653056,12.543546
5242872,3,97,13500,55.682748,12.455784
5242865,4,106,14900,55.682748,12.455784
5242874,5,148,20995,55.653751,12.549599
5242864,3,87,13300,55.682748,12.455784
5242856,3,109,13950,55.682748,12.455784
5242879,5,135,19200,55.652763,12.543399
5242845,3,109,14500,55.682748,12.455784
5242853,4,103,14950,55.682748,12.455784
5242859,3,93,15200,55.682748,12.455784
5242847,3,109,14400,55.682748,12.455784
5242840,2,76,12350,55.682748,12.455784
5242844,3,97,13800,55.682748,12.455784
5242837,3,90,13300,55.682748,12.455784
5242851,4,103,14850,55.682748,12.455784
5242849,2,83,12800,55.682748,12.455784
5242858,2,74,12300,55.682748,12.455784
5242878,3,78,14200,55.651319,12.555321
5242852,3,99,13800,55.682748,12.455784
5242848,3,109,14250,55.682748,12.455784
5242876,3,103,17300,55.703478,12.594140
5242846,2,76,11950,55.682748,12.455784
5242877,4,110,15900,55.653056,12.543546
5242850,2,83,12600,55.682748,12.455784
4572076,2,52,7354,55.695959,12.500281
5211868,1,32,6150,55.727220,12.479290
5236714,10,501,90000,55.665369,12.525186
5242800,4,102,13750,55.638359,12.583660
5242838,3,90,13200,55.682748,12.455784
5242802,3,87,13200,55.634592,12.579425
5242835,2,68,11900,55.682748,12.455784
5239432,2,60,11700,55.634942,12.579119
5242842,3,97,13900,55.682748,12.455784
5187916,2,81,12870,55.661812,12.569668
5241713,2,76,13170,55.661812,12.569668
5242834,3,90,13400,55.682748,12.455784
5242836,3,86,12950,55.682748,12.455784
5242843,3,97,13600,55.682748,12.455784
5242839,3,86,12950,55.682748,12.455784
5242822,3,97,15700,55.619409,12.567984
5242803,3,86,13200,55.634696,12.579943
5242833,3,90,13500,55.682748,12.455784
5242796,4,97,13500,55.727318,12.474743
5180420,4,87,11900,55.726701,12.479740
5237968,4,87,11900,55.726701,12.479740
5230522,1,12,3900,55.706031,12.552815
5231655,1,21,5000,55.665835,12.509698
5241606,1,25,7800,55.681189,12.518624
5241614,1,35,7800,55.651307,12.511187
5194789,3,52,12395,55.664505,12.591295
5234310,2,38,10600,55.668962,12.541954
5242791,3,66,12950,55.620270,12.573462
5242794,4,101,15200,55.677018,12.435548
5242797,2,80,11800,55.632422,12.576245
5127686,3,93,12382,55.626185,12.576225
5242793,4,101,15100,55.677018,12.435548
5242792,4,101,14975,55.677018,12.435548
5242790,2,63,13400,55.620270,12.573462
3728881,2,62,12500,55.712030,12.571428
5242795,4,102,13950,55.727318,12.474743
5228606,1,100,6900,55.736143,12.512108
5231903,1,16,5500,55.742842,12.471712
5238501,1,32,6350,55.727220,12.479290
5224887,3,146,26000,55.737286,12.538268
5231637,1,14,3900,55.692890,12.547805
5162225,1,35,6650,55.695462,12.524558
5117815,1,50,10500,55.684119,12.585351
5207918,2,51,11800,55.666638,12.599292
5218751,2,50,9800,55.653405,12.503093
5238047,2,54,12500,55.706647,12.593854
5217948,5,130,15650,55.635082,12.581158
5231635,1,50,9500,55.671126,12.517145
5239954,3,64,12798,55.663095,12.593584
5179341,3,89,13865,55.663095,12.593584
5121282,4,101,14747,55.656909,12.501427
4966924,4,118,15300,55.676983,12.436204
5149579,1,32,7450,55.667515,12.621765
5121279,3,79,12905,55.656761,12.503792
5241611,1,26,7650,55.681189,12.518624
5241413,1,35,7950,55.651307,12.511187
5241613,1,32,7600,55.655730,12.511585
5241616,1,29,7600,55.659106,12.510073
5241419,1,35,7950,55.651307,12.511187
5241620,1,25,7600,55.681189,12.518624
5241619,1,25,7550,55.681189,12.518624
5241593,1,26,7900,55.681189,12.518624
5241629,1,29,7200,55.688463,12.494303
5241618,1,32,7800,55.664247,12.518557
5241600,1,35,7900,55.651556,12.511923
5241417,1,35,7950,55.651307,12.511187
5241402,2,60,11900,55.637755,12.580868
5241401,3,79,11900,55.711542,12.480989
5241406,2,58,11900,55.639915,12.582965
5239919,3,108,14300,55.638175,12.581597
5112364,5,118,17907,55.621337,12.573197
4857075,3,96,15376,55.684584,12.500804
5241259,3,98,14200,55.617720,12.568271
5241345,2,58,12500,55.619018,12.570785
5241386,2,66,12200,55.619439,12.569174
5241316,3,72,12900,55.726775,12.477716
5241385,3,72,11950,55.710460,12.484442
5241391,2,64,11950,55.636178,12.580926
5241383,2,66,12400,55.619018,12.570785
5241298,2,79,12950,55.638175,12.581597
5241239,3,98,14000,55.726986,12.477065
5241264,4,92,13850,55.711801,12.480088
5241333,2,65,12900,55.666197,12.621256
5241326,4,93,12900,55.711542,12.480989
5241255,4,81,13900,55.618970,12.567802
5241249,4,93,14150,55.711801,12.480088
5241245,4,111,14500,55.710620,12.483975
5241253,4,107,13900,55.711542,12.480989
5241262,3,108,14300,55.638175,12.581597
5241257,4,96,13900,55.711801,12.480088
5241235,4,97,14150,55.711801,12.480088
5241206,1,37,8500,55.651307,12.511187
5241204,1,24,8300,55.681189,12.518624
5241232,4,90,14200,55.639674,12.582732
5241215,4,102,14500,55.727220,12.477641
5241221,3,108,14700,55.638175,12.581597
5241207,4,98,14800,55.726775,12.477716
5241229,4,87,14400,55.639361,12.582103
5241217,3,108,14600,55.638175,12.581597
5241244,4,102,14000,55.710620,12.483975
5241212,3,84,14800,55.636125,12.581213
5241237,3,76,14000,55.638325,12.580990
5241233,4,113,14200,55.711542,12.480989
5241228,3,81,14200,55.636803,12.580686
5241227,4,103,14800,55.618970,12.567802
5241218,3,97,14500,55.619392,12.568249
5241226,3,95,14400,55.637664,12.580775
5241222,3,95,14800,55.707430,12.553607
5241200,1,26,8650,55.681189,12.518624
5241129,2,33,10400,55.681072,12.521405
5241190,1,42,8900,55.651307,12.511187
5241126,2,29,10750,55.680677,12.518295
5241195,1,26,8650,55.681189,12.518624
5241145,2,52,10100,55.710460,12.484442
5241131,2,32,10400,55.681189,12.518624
5241152,1,41,10200,55.688463,12.494303
5241185,1,44,9000,55.667881,12.516962
5241196,1,44,9000,55.667881,12.516962
5194819,2,58,11950,55.704081,12.588843
5241142,2,43,10250,55.651307,12.511187
5241134,2,43,10300,55.651307,12.511187
5241139,1,53,10200,55.659106,12.510073
5239213,1,32,11000,55.686301,12.589569
5241138,2,43,10200,55.651307,12.511187
5241140,2,43,10200,55.651307,12.511187
4889880,3,100,15990,55.709981,12.576761
5179339,3,65,12799,55.663095,12.593584
4979629,2,65,10950,55.617418,12.566349
5215431,6,291,68000,55.725369,12.572961
5230512,1,8,5000,55.672638,12.552493
5007343,1,14,5150,55.695252,12.523573
4954929,1,13,4920,55.696180,12.524019
5115245,5,123,16705,55.621711,12.572956
5185769,2,70,11950,55.650875,12.599189
5225436,1,18,4800,55.671863,12.488692
5179167,4,107,14875,55.653859,12.503733
5211309,3,83,14248,55.664493,12.591439
5112375,2,61,11721,55.621840,12.572173
5037820,3,79,12300,55.635935,12.580643
5007481,4,110,14341,55.652939,12.518220
5216831,3,92,13811,55.646950,12.543446
5212657,3,70,12200,55.635957,12.577198
5241113,3,93,15500,55.685697,12.615687
5241118,5,152,27500,55.688113,12.515788
5234647,1,20,3000,55.717262,12.485402
5185286,5,110,19995,55.698770,12.535178
5197159,2,65,12500,55.722440,12.557737
4974061,3,73,9200,55.723913,12.507285
5179335,3,115,17791,55.735213,12.573734
4900882,1,14,5150,55.696180,12.524019
5131762,2,78,11000,55.654190,12.611142
5239424,2,59,11700,55.638214,12.580920
5231643,3,69,11900,55.637557,12.618914
5080325,5,131,18400,55.644377,12.548894
5088657,1,32,7334,55.705502,12.527119
5206496,1,55,8800,55.649554,12.551497
5189680,2,62,12097,55.658226,12.560504
4987836,1,42,6189,55.667178,12.620381
5003287,2,68,11000,55.655187,12.548544
5205895,3,106,14900,55.647024,12.555362
5015731,5,112,16100,55.616959,12.566361
5145339,3,90,15900,55.689876,12.564372
5241609,1,35,7700,55.655730,12.511585
5235549,1,9,3000,55.681845,12.517944
5209661,2,90,15900,55.727795,12.573141
5226449,1,7,3500,55.692890,12.547805
5200807,1,12,5500,55.701622,12.575685
5241608,1,25,7750,55.681189,12.518624
5241610,1,25,7750,55.681189,12.518624
5153026,1,38,8607,55.713941,12.559926
5216766,1,37,5633,55.707792,12.485342
5234829,1,38,10000,55.649105,12.611941
5217951,2,63,11750,55.635637,12.576030
5241679,4,96,16500,55.619409,12.567984
5011142,1,35,7450,55.667515,12.621765
5166742,3,105,15000,55.658780,12.562653
5212091,2,56,10500,55.671519,12.522101
5241681,3,153,20000,55.620270,12.573462
5197160,4,107,18500,55.691000,12.531834
5144890,4,108,18000,55.678251,12.573650
5113676,1,8,4500,55.692314,12.544210
5234356,2,48,10200,55.710460,12.484442
5179192,5,134,18000,55.619128,12.568626
5241374,2,63,12500,55.619016,12.569658
5241363,2,65,12200,55.619018,12.570785
5211292,2,62,12400,55.651934,12.542414
5241286,4,93,13750,55.711542,12.480989
5241280,3,74,13400,55.639789,12.582016
5241353,3,71,12250,55.710460,12.484442
5241267,3,83,13700,55.636764,12.581061
5241290,2,69,13200,55.637921,12.581371
5241273,4,102,13900,55.711542,12.480989
5241281,3,88,13200,55.637016,12.580859
5241288,3,80,13100,55.617802,12.569192
5241377,3,74,12000,55.710460,12.484442
5241241,4,94,14000,55.619018,12.570785
5241242,4,102,14000,55.710620,12.483975
5241243,4,92,14000,55.711801,12.480088
5231641,1,8,4500,55.718899,12.492832
5121297,2,86,15999,55.677830,12.573206
5054949,1,35,8618,55.679425,12.551437
4944336,7,291,25500,55.672031,12.576112
5195469,1,37,7800,55.671075,12.501987
5230528,1,20,6000,55.664924,12.543442
5216958,1,40,8100,55.701790,12.530511
5239438,1,60,14000,55.707513,12.576216
4920071,4,177,26560,55.677779,12.573410
5202620,1,40,7000,55.649554,12.551497
5239215,3,59,11700,55.727596,12.479145
5217944,3,92,14700,55.654295,12.568211
5237966,4,118,15000,55.705827,12.433875
5184522,3,99,15700,55.665227,12.624279
5238465,1,44,9000,55.667881,12.516962
4921301,1,20,6000,55.695502,12.545330
5064407,3,108,14883,55.678166,12.493615
5238455,3,120,24995,55.680170,12.555592
5227254,1,17,5500,55.715727,12.471890
5239390,3,91,14000,55.637843,12.580475
5230529,2,55,14000,55.692026,12.545710
5022489,1,15,7000,55.688385,12.508888
