id,rooms,area,rent,latitude,longitude
5249769,3,69,5000,55.635296,12.642434
5254023,1,41,4570,55.618704,12.573169
5247994,1,37,6900,55.703754,12.537448
5238576,2,58,12000,55.708968,12.583703
5249737,2,58,8500,55.649305,12.528735
5142344,3,95,11000,55.695855,12.572995
5049672,1,41,6386,55.652406,12.512200
5244152,3,104,13030,55.683900,12.615180
5248131,1,38,5216,55.652406,12.512200
5242879,5,135,19200,55.652763,12.543399
5211190,3,89,10500,55.670768,12.452505
5258516,1,44,4806,55.618704,12.573169
5246787,2,59,8500,55.702334,12.533245
5260949,3,66,13000,55.681337,12.583357
5184679,3,69,9074,55.721015,12.472446
5252892,2,44,10000,55.709851,12.599177
5181554,4,95,14000,55.697442,12.538697
5121283,3,80,12823,55.657161,12.500471
5085150,1,27,5590,55.741074,12.485863
5188889,1,8,4100,55.695462,12.524558
5020108,4,134,17750,55.686692,12.511245
5254022,1,43,4697,55.618704,12.573169
5256161,5,114,16650,55.640774,12.608928
5249740,1,84,4451,55.700997,12.551421
5220617,1,20,3500,55.671652,12.575306
5247638,1,43,6500,55.649554,12.551497
5211187,1,40,6300,55.649554,12.551497
5036698,1,37,5122,55.667178,12.620381
5175435,1,31,6136,55.646324,12.635889
5181575,4,105,14859,55.657196,12.500426
5061339,2,54,12700,55.664897,12.536063
5042716,1,35,7539,55.713941,12.559926
4933804,3,83,12267,55.621063,12.573203
5249720,3,73,11000,55.663465,12.542260
5112271,3,91,12297,55.617810,12.572924
5121291,2,66,11838,55.656761,12.503792
3728881,2,62,12500,55.712030,12.571428
5249766,2,55,9900,55.711877,12.560336
5187916,2,81,12870,55.661812,12.569668
5247672,1,54,10000,55.689953,12.562738
5024243,4,107,14500,55.635753,12.580312
4572076,2,52,7354,55.695959,12.500281
5218751,2,50,9800,55.653405,12.503093
5249741,1,8,5000,55.672638,12.552493
5211868,1,32,6150,55.727220,12.479290
5127687,4,96,13000,55.626185,12.576225
5248097,3,88,12300,55.657635,12.511351
5250949,4,104,14935,55.662742,12.596234
5062039,2,86,12000,55.700269,12.545727
5239954,3,64,12798,55.663095,12.593584
5260881,1,35,7850,55.664247,12.518557
5179639,1,40,8200,55.653722,12.603179
5143983,3,102,14035,55.698748,12.535320
5252433,2,73,11630,55.656761,12.503792
5242994,4,102,13900,55.617746,12.567919
5117815,1,50,10500,55.684119,12.585351
5179341,3,89,13865,55.663095,12.593584
5256244,3,72,13000,55.656704,12.590547
5149579,1,32,7450,55.667515,12.621765
5127686,3,93,12382,55.626185,12.576225
5242975,4,222,38200,55.680634,12.588782
5121279,3,79,12905,55.656761,12.503792
5236714,10,501,90000,55.665369,12.525186
5216831,3,92,13850,55.646950,12.543446
5180420,4,87,11900,55.726701,12.479740
5249734,3,122,14000,55.684919,12.614788
5238047,2,54,12500,55.706647,12.593854
5194789,3,52,12395,55.664505,12.591295
5217949,3,94,14850,55.659896,12.570050
5242989,2,67,13900,55.663155,12.623858
5121282,4,101,14747,55.656909,12.501427
5242922,2,96,14539,55.684060,12.515149
5241118,5,152,27500,55.688113,12.515788
5194819,2,58,11950,55.704081,12.588843
5252436,2,75,13170,55.661812,12.569668
4974061,3,73,9200,55.723913,12.507285
5112364,5,118,17907,55.621337,12.573197
5007343,1,14,5150,55.695252,12.523573
5115245,5,123,16705,55.621711,12.572956
4979629,2,65,10950,55.617418,12.566349
5248145,2,51,10300,55.671519,12.522101
5244746,2,56,11900,55.709572,12.566432
4966924,4,118,15300,55.676983,12.436204
5238607,1,50,8995,55.732809,12.565759
5112375,2,61,11721,55.621840,12.572173
4889880,3,100,15990,55.709981,12.576761
5242854,4,130,22100,55.671061,12.583902
4954929,1,13,4920,55.696180,12.524019
5007481,4,110,14341,55.652939,12.518220
5217948,5,130,15650,55.635082,12.581158
5260880,1,35,7800,55.651556,12.511923
5224887,3,146,26000,55.737286,12.538268
5248781,3,78,16750,55.665578,12.533916
5249752,1,14,3900,55.692890,12.547805
5179167,4,107,14875,55.653859,12.503733
5179335,3,115,17791,55.735213,12.573734
5205895,3,106,14900,55.647024,12.555362
5242841,2,71,11950,55.682748,12.455784
4987836,1,42,6189,55.667178,12.620381
5260885,1,29,7400,55.659106,12.510073
5260884,1,30,7300,55.688463,12.494303
5260882,1,29,7600,55.659106,12.510073
5249755,2,55,14000,55.692026,12.545710
5003287,2,68,11000,55.655187,12.548544
5145339,3,90,15900,55.689876,12.564372
5015731,5,112,16100,55.616959,12.566361
5246108,1,35,6650,55.695462,12.524558
5260867,1,31,7400,55.655730,12.511585
5260891,1,29,7300,55.688463,12.494303
5212657,3,70,12200,55.635957,12.577198
5179339,3,65,12799,55.663095,12.593584
4900882,1,14,5150,55.696180,12.524019
5131762,2,78,11000,55.654190,12.611142
5252859,6,387,57000,55.693109,12.585929
5088657,1,32,7334,55.705502,12.527119
5260874,1,35,7950,55.651307,12.511187
5260869,1,37,8500,55.651307,12.511187
5260873,1,35,7950,55.651307,12.511187
5260896,1,29,7200,55.688463,12.494303
5239422,2,59,11700,55.638214,12.580920
5260868,1,36,8500,55.651556,12.511923
5260889,1,35,7400,55.655730,12.511585
5249183,1,54,10000,55.689891,12.562905
5189680,2,62,12097,55.658226,12.560504
5206496,1,55,8800,55.649554,12.551497
5260877,1,35,7950,55.651307,12.511187
5249731,1,100,6900,55.736143,12.512108
5215431,6,291,68000,55.725369,12.572961
5249718,1,15,4200,55.640874,12.589630
5254791,3,87,13760,55.706205,12.534940
5227236,5,309,65000,55.680716,12.602132
5252859,6,387,57000,55.693109,12.585929
5153026,1,38,8607,55.713941,12.559926
5234310,2,38,10600,55.668962,12.541954
5211292,2,62,12400,55.651934,12.542414
5144890,4,108,18000,55.678251,12.573650
5011142,1,35,7450,55.667515,12.621765
5248133,1,43,6629,55.652406,12.512200
5185287,4,100,13800,55.626185,12.576225
5211309,3,83,14248,55.664493,12.591439
5185286,5,110,19995,55.698770,12.535178
5080325,5,131,18400,55.644377,12.548894
5113676,1,8,4500,55.692314,12.544210
5249744,1,50,9500,55.671126,12.517145
5215431,6,291,68000,55.725369,12.572961
4920071,4,177,26560,55.677779,12.573410
5241114,4,131,18500,55.733686,12.564141
5258513,1,15,3900,55.715922,12.535498
5259580,2,33,10400,55.681072,12.521405
4921301,1,20,6000,55.695502,12.545330
5195469,1,37,7800,55.671075,12.501987
5200807,1,12,5500,55.701622,12.575685
5216958,1,40,8100,55.701790,12.530511
5260010,1,29,7400,55.688463,12.494303
5054949,1,35,8618,55.679425,12.551437
5242992,2,67,13000,55.663155,12.623858
5216766,1,37,5633,55.707792,12.485342
5217944,3,92,14700,55.654295,12.568211
5242877,4,110,15900,55.653056,12.543546
5166742,3,105,15000,55.658780,12.562653
5064407,3,108,14883,55.678166,12.493615
5248168,4,122,23000,55.636811,12.606093
5086675,2,56,10475,55.636709,12.582897
5241114,4,131,18500,55.733686,12.564141
5209661,2,90,15900,55.727795,12.573141
5249724,1,9,3000,55.681845,12.517944
5249778,1,16,3600,55.673427,12.596042
4944336,7,291,25500,55.672031,12.576112
5248022,1,49,8400,55.703754,12.537448
5105724,5,127,16650,55.705827,12.433875
5247645,3,79,12700,55.652367,12.556530
5121297,2,86,15999,55.677830,12.573206
5242649,1,40,9600,55.660626,12.613696
5179192,5,134,18000,55.619128,12.568626
5184522,3,99,15700,55.665227,12.624279
5212091,2,56,10500,55.671519,12.522101
4883005,3,111,17000,55.683567,12.581772
4856797,6,231,31762,55.684228,12.572508
5252908,1,54,8700,55.655187,12.548544
5241712,5,152,16052,55.606586,12.593683
5254796,1,16,5500,55.740413,12.473151
5022489,1,15,7000,55.688385,12.508888
4960416,1,24,5999,55.668800,12.499741
5023175,3,121,15106,55.684120,12.615212
5246107,1,35,6650,55.695462,12.524558
5079087,4,136,17500,55.651292,12.542151
5230508,2,58,12000,55.653134,12.548116
5239432,2,60,11700,55.634942,12.579119
5259576,2,53,9450,55.710620,12.483975
5112248,3,79,13118,55.660841,12.503090
5024241,4,105,14800,55.636125,12.581212
5242797,2,80,11800,55.632422,12.576245
5243687,1,48,8000,55.655898,12.503485
5248622,2,43,9500,55.651556,12.511923
5074404,3,86,12807,55.626185,12.576225
5248806,4,164,21520,55.699561,12.577984
5092270,4,102,14000,55.707173,12.491523
5087576,4,147,18606,55.683053,12.572715
5249722,1,20,3000,55.717262,12.485402
5149924,3,102,14995,55.665165,12.510616
5112302,4,119,20000,55.732739,12.561723
4974060,3,73,9200,55.723913,12.507285
4856694,3,90,13466,55.726121,12.478513
5259278,1,34,8900,55.668962,12.541954
5249747,1,12,3900,55.706031,12.552815
4900278,3,65,12799,55.663095,12.593584
5217298,2,52,11200,55.667881,12.516962
4956120,2,64,10350,55.617418,12.566349
5259282,1,38,8600,55.712077,12.575295
5213502,2,58,11100,55.634968,12.580811
5247694,3,89,13865,55.663095,12.593584
5258838,2,71,11525,55.677018,12.435548
5153116,5,140,19500,55.650345,12.540920
5242875,4,110,16300,55.653056,12.543546
4739392,2,56,11500,55.665367,12.598933
5085935,4,126,20300,55.698585,12.585769
5249722,1,20,3000,55.717262,12.485402
5247695,4,95,16016,55.664493,12.591439
5237968,4,87,11900,55.726701,12.479740
5249777,1,21,5000,55.665835,12.509698
5179622,1,49,8950,55.671065,12.501394
5193032,1,37,8584,55.679425,12.551437
5017590,1,28,8300,55.663553,12.591000
5242870,2,65,10950,55.682748,12.455784
5054948,1,43,7640,55.701219,12.535712
4856705,4,105,17495,55.678128,12.573445
5181532,2,90,13900,55.659896,12.570050
5218117,1,36,8000,55.701790,12.530511
5130194,3,82,12400,55.640331,12.582975
4956329,2,74,14500,55.680218,12.590206
5242873,5,147,21500,55.648393,12.553017
5148227,5,131,16400,55.635403,12.580519
5242967,4,134,22900,55.695721,12.573927
5181932,3,84,13900,55.703795,12.503554
5107678,4,114,15900,55.645625,12.548263
5242796,4,97,13500,55.727318,12.474743
5246675,3,87,11500,55.724530,12.474464
5237517,2,59,11995,55.660626,12.613696
5208360,1,36,10070,55.663553,12.591000
5251674,3,91,11317,55.678938,12.450205
5243014,3,66,12950,55.618372,12.573111
5185816,1,43,7939,55.701219,12.535712
5179340,3,65,13118,55.663095,12.593584
5249770,1,45,9500,55.671264,12.514637
5246766,3,89,13936,55.664493,12.591439
5241713,2,76,13170,55.661812,12.569668
5206512,5,125,16000,55.658379,12.631650
5242937,4,115,16770,55.652386,12.511991
5245187,1,180,19800,55.680659,12.571175
5117845,2,115,18820,55.661812,12.569668
5241113,3,93,15500,55.685697,12.615687
5242920,4,113,17982,55.658853,12.559362
5143981,4,86,15995,55.698748,12.535320
5249727,1,7,3500,55.692890,12.547805
5194530,1,37,7800,55.671065,12.501394
5185814,1,35,7904,55.679425,12.551437
5208330,1,48,10000,55.616671,12.565964
5179636,1,37,7800,55.653722,12.603179
4956190,5,195,24200,55.620428,12.572797
5136252,3,85,16950,55.671032,12.585607
5242990,2,67,13700,55.663155,12.623858
5242878,3,78,14200,55.651319,12.555321
5211191,4,101,17500,55.689557,12.555438
5184525,1,35,6650,55.696180,12.524019
5242920,4,113,17982,55.658853,12.559362
5224886,2,110,19800,55.679212,12.569246
4857750,4,151,29500,55.685175,12.565269
4956083,2,63,11050,55.617418,12.566349
5101208,3,134,19000,55.691701,12.524678
5086692,3,91,12750,55.676421,12.436609
5242795,4,102,13950,55.727318,12.474743
5150806,4,130,14500,55.738439,12.507797
3728880,2,70,13000,55.706672,12.595776
5184525,1,35,6650,55.696180,12.524019
5126148,2,43,9800,55.665096,12.456153
5247646,3,91,12395,55.651821,12.554816
5190072,2,79,13800,55.648375,12.553065
5242803,3,86,13200,55.634696,12.579943
5237517,2,59,11995,55.660626,12.613696
5242876,3,103,17300,55.703478,12.594140
5243696,1,34,6800,55.655898,12.503485
5194094,2,77,12200,55.658142,12.511876
5110046,2,63,10950,55.671176,12.472884
5248809,4,111,14617,55.676169,12.436299
5107624,4,142,25150,55.675754,12.575112
5246413,3,135,20000,55.683376,12.541251
5086698,6,169,21900,55.700376,12.577858
5242871,3,87,13100,55.682748,12.455784
5226441,3,85,14100,55.652911,12.548989
5092337,2,89,12815,55.725437,12.478625
5126124,1,28,7488,55.645948,12.636120
5188873,1,35,8000,55.688441,12.491476
5216955,1,37,7900,55.670619,12.501294
5181545,1,23,7000,55.686710,12.503927
5238113,3,83,12600,55.617612,12.567774
5242802,3,87,13200,55.634592,12.579425
5249262,2,88,12480,55.667390,12.620210
5242990,2,67,13700,55.663155,12.623858
5243080,2,74,11000,55.705020,12.433231
5243759,3,141,20900,55.669039,12.580680
5242851,4,103,14850,55.682748,12.455784
5189160,4,107,17800,55.660061,12.568841
5163219,3,124,18750,55.686736,12.584134
5206497,5,219,26950,55.672638,12.552493
4856955,4,117,16946,55.652386,12.511991
5082596,3,107,19500,55.676761,12.531524
5239212,2,115,18100,55.674490,12.554663
4813572,3,122,15800,55.664442,12.601083
5212120,4,125,15800,55.625388,12.571490
5239424,2,59,11700,55.638214,12.580920
5248823,1,12,4000,55.692890,12.547805
5237942,2,53,10200,55.665229,12.456205
5243084,2,55,10500,55.705114,12.435315
5224860,3,70,13250,55.619128,12.568626
5143984,3,89,13600,55.655513,12.547887
5189682,3,96,14975,55.649051,12.535273
4992890,3,81,17000,55.689958,12.554588
5242803,3,86,13200,55.634696,12.579943
5242874,5,148,20995,55.653751,12.549599
5237966,4,118,15000,55.705827,12.433875
5252438,3,81,13225,55.656761,12.503792
5239438,1,60,14000,55.707513,12.576216
5194025,7,214,33438,55.687590,12.595955
4873697,3,143,18500,55.672672,12.558478
5237947,1,35,7500,55.665096,12.456153
5179337,6,270,40365,55.734451,12.573912
5244175,1,57,11400,55.660404,12.559673
5247677,2,53,11311,55.636709,12.582897
5086189,1,49,12500,55.701313,12.585411
5234625,2,108,17000,55.672118,12.592080
5188888,1,35,6650,55.695252,12.523573
5194787,3,87,14600,55.646565,12.552006
5243015,3,66,13750,55.618372,12.573111
5054100,4,109,14040,55.676413,12.437081
5241131,2,32,10400,55.681189,12.518624
5211186,1,51,8575,55.649554,12.551497
5242981,4,105,14500,55.671176,12.472884
5242871,3,87,13100,55.682748,12.455784
5207006,3,105,15195,55.659748,12.511782
5127791,5,161,21627,55.675097,12.548271
5194142,4,101,14775,55.636709,12.582897
4856612,2,80,12826,55.656387,12.509244
5249704,1,56,11900,55.686667,12.528529
4880219,1,14,5150,55.696180,12.524019
5243698,1,34,6800,55.655898,12.503485
5181187,1,49,8500,55.671065,12.501394
5243016,2,63,12800,55.618372,12.573111
5011140,4,101,14400,55.635435,12.577151
5074399,4,101,13752,55.626185,12.576225
5252431,4,102,17195,55.698748,12.535320
5242834,3,90,13400,55.682748,12.455784
5179646,1,37,7700,55.701790,12.530511
5112376,3,90,13240,55.621584,12.573410
5242791,3,66,12950,55.620270,12.573462
5239326,3,155,23500,55.675314,12.568886
5028575,4,103,15500,55.644847,12.551740
