id,rooms,area,rent,latitude,longitude
5248131,1,38,5216,55.652406,12.512200
5275700,1,37,7900,55.671065,12.501394
5211187,1,40,6300,55.649554,12.551497
5263181,3,73,11000,55.663465,12.542260
5249720,3,73,11000,55.663465,12.542260
5142344,3,95,11000,55.695855,12.572995
5260949,3,66,13000,55.681337,12.583357
5121283,3,80,12823,55.657161,12.500471
5252892,2,44,10000,55.709851,12.599177
5249769,3,69,5000,55.635296,12.642434
5244152,3,104,13030,55.683900,12.615180
5249737,2,58,8500,55.649305,12.528735
5262516,1,25,3500,55.655457,12.609949
5262432,1,31,7050,55.703613,12.553748
5265262,1,15,6000,55.684023,12.573700
5181554,4,95,14000,55.697442,12.538697
5184679,3,69,9074,55.721015,12.472446
5263643,4,111,15815,55.646950,12.543446
5242879,5,135,19200,55.652763,12.543399
5042716,1,35,7539,55.713941,12.559926
5275711,1,30,7500,55.688463,12.494303
5247994,1,37,6900,55.703754,12.537448
5036698,1,37,5122,55.667178,12.620381
5262429,2,50,8400,55.649554,12.551497
5275739,1,31,6000,55.711297,12.480605
5275894,2,279,40000,55.737706,12.581538
5249740,1,84,4451,55.700997,12.551421
5275713,1,30,7500,55.688463,12.494303
5275327,3,74,13130,55.659972,12.513117
5275735,1,29,7400,55.688463,12.494303
5049672,1,41,6386,55.652406,12.512200
5275437,3,97,15611,55.646029,12.552433
5246766,3,89,13936,55.664493,12.591439
5275914,5,160,23000,55.676226,12.541370
5188889,1,8,4100,55.695462,12.524558
5020108,4,134,17750,55.686692,12.511245
5085150,1,27,5590,55.741074,12.485863
5275266,2,64,12500,55.733989,12.575129
5247638,1,43,6500,55.649554,12.551497
5273992,2,59,10900,55.726775,12.477716
5275711,1,30,7500,55.688463,12.494303
5266731,2,31,7500,55.686710,12.503927
5275735,1,29,7400,55.688463,12.494303
5061339,2,54,12700,55.664897,12.536063
5249734,3,122,12500,55.684919,12.614788
4933804,3,83,12267,55.621063,12.573203
5270980,2,69,11630,55.660841,12.503090
5024243,4,107,14500,55.635753,12.580312
5112271,3,91,12297,55.617810,12.572924
5270474,3,90,16000,55.677717,12.578245
5062039,2,86,12000,55.700269,12.545727
5249766,2,55,9900,55.711877,12.560336
5181575,4,105,14859,55.657196,12.500426
5262326,2,52,10140,55.646395,12.637199
5275340,1,34,6200,55.720895,12.556455
5271364,1,32,6250,55.727220,12.479290
5266222,4,130,16500,55.707105,12.445281
5249741,1,8,5000,55.672638,12.552493
3728881,2,62,12500,55.712030,12.571428
4572076,2,52,7354,55.695959,12.500281
5143983,3,102,14035,55.698748,12.535320
5252433,2,73,11630,55.656761,12.503792
5266718,2,56,10000,55.655898,12.503485
5244746,2,56,11900,55.709572,12.566432
5268101,1,54,10000,55.689953,12.562738
5187916,2,81,12870,55.661812,12.569668
5275418,2,83,15700,55.700668,12.535284
5250949,4,104,14935,55.662742,12.596234
5274332,2,104,19000,55.699196,12.593657
5267433,4,105,17425,55.706699,12.530820
5127687,4,96,13000,55.626185,12.576225
5270946,4,105,14450,55.618121,12.567602
5211868,1,32,6150,55.727220,12.479290
5149579,1,32,7450,55.667515,12.621765
5262444,1,41,6200,55.707601,12.531026
5266718,2,56,10000,55.655898,12.503485
5217949,3,94,14850,55.659896,12.570050
5246108,1,35,6650,55.695462,12.524558
5194789,3,52,12400,55.664505,12.591295
5262431,1,31,7050,55.703613,12.553748
5274217,1,38,8600,55.712077,12.575295
5274105,3,80,13600,55.609727,12.583102
5238047,2,54,12500,55.706647,12.593854
5275267,3,85,16100,55.691000,12.531834
5121279,3,79,12905,55.656761,12.503792
5274117,3,77,13300,55.619150,12.570791
5216831,3,92,13850,55.646950,12.543446
5121282,4,101,14747,55.656909,12.501427
5242922,2,96,14539,55.684060,12.515149
4966924,4,118,15300,55.676983,12.436204
5238607,1,50,8995,55.732809,12.565759
4974061,3,73,9200,55.723913,12.507285
5262325,2,46,9568,55.646606,12.636577
5249778,1,16,3600,55.673427,12.596042
5007343,1,14,5150,55.695252,12.523573
5112375,2,61,11721,55.621840,12.572173
4979629,2,65,10950,55.617418,12.566349
5273961,2,52,11200,55.667881,12.516962
4954929,1,13,4920,55.696180,12.524019
5252436,2,75,13170,55.661812,12.569668
5272097,2,65,12200,55.636558,12.580429
5115245,5,123,16705,55.621711,12.572956
5112364,5,118,17907,55.621337,12.573197
5217948,5,130,15650,55.635082,12.581158
5275336,2,73,13000,55.705286,12.543816
4889880,3,100,15990,55.709981,12.576761
5249183,1,54,10000,55.689891,12.562905
5194819,2,58,11950,55.704081,12.588843
5249752,1,14,3900,55.692890,12.547805
5179335,3,115,17791,55.735213,12.573734
5153026,1,38,8607,55.713941,12.559926
5227236,5,309,65000,55.680716,12.602132
5249744,1,50,9500,55.671126,12.517145
5252859,6,387,57000,55.693109,12.585929
4900882,1,14,5150,55.696180,12.524019
5088657,1,32,7334,55.705502,12.527119
4987836,1,42,6189,55.667178,12.620381
5273981,2,33,10400,55.681072,12.521405
5189680,2,62,12342,55.658226,12.560504
5274038,4,102,15100,55.617802,12.569192
5268156,2,51,10300,55.671519,12.522101
5275417,2,64,12100,55.700668,12.535284
5003287,2,68,11000,55.655187,12.548544
5212657,3,70,12200,55.635957,12.577198
5145339,3,90,15900,55.689876,12.564372
5242975,4,222,38200,55.680634,12.588782
5258513,1,15,3900,55.715922,12.535498
5249718,1,15,4200,55.640874,12.589630
5254796,1,16,5500,55.740413,12.473151
5197159,2,65,12500,55.722440,12.557737
5273993,2,51,10200,55.710460,12.484442
5242841,2,71,11950,55.682748,12.455784
5144890,4,108,18000,55.678251,12.573650
5274105,3,80,13600,55.609727,12.583102
5088657,1,32,7334,55.705502,12.527119
5011142,1,35,7450,55.667515,12.621765
5179167,4,107,14875,55.653859,12.503733
5274332,2,104,19000,55.699196,12.593657
5263632,2,61,11500,55.634942,12.579119
5206496,1,55,8800,55.649554,12.551497
5185287,4,100,13800,55.626185,12.576225
5248806,4,164,21520,55.699561,12.577984
5080325,5,131,18400,55.644377,12.548894
5241118,5,152,27500,55.688113,12.515788
5215431,6,291,68000,55.725369,12.572961
5254791,3,87,13760,55.706205,12.534940
5113676,1,8,4500,55.692314,12.544210
5247695,4,95,16016,55.664493,12.591439
5274015,2,48,10200,55.710460,12.484442
5054949,1,35,8618,55.679425,12.551437
5248133,1,43,6629,55.652406,12.512200
4921301,1,20,6000,55.695502,12.545330
5263632,2,61,11500,55.634942,12.579119
5248781,3,78,16750,55.665578,12.533916
5200807,1,12,5500,55.701622,12.575685
5266835,3,76,15400,55.707014,12.573501
5064407,3,108,14883,55.678166,12.493615
5266715,2,81,14085,55.687040,12.548191
5248168,4,122,23000,55.636811,12.606093
5270946,4,105,14450,55.618121,12.567602
5185286,5,110,19995,55.698770,12.535178
5261950,4,122,21000,55.687566,12.562154
5249722,1,20,3000,55.717262,12.485402
5213502,2,58,11100,55.634968,12.580811
5200807,1,12,5500,55.701622,12.575685
4944336,7,291,25500,55.672031,12.576112
