id,rooms,area,rent,latitude,longitude
5249769,3,69,5000,55.635296,12.642434
5184679,3,69,9074,55.721015,12.472446
5248131,1,38,5216,55.652406,12.512200
5249720,3,73,11000,55.663465,12.542260
5265262,1,15,6000,55.684023,12.573700
5275700,1,37,7900,55.671065,12.501394
5263181,3,73,11000,55.663465,12.542260
5211187,1,40,6300,55.649554,12.551497
5252892,2,44,10000,55.709851,12.599177
5262432,1,31,7050,55.703613,12.553748
5142344,3,95,11000,55.695855,12.572995
5249737,2,58,8500,55.649305,12.528735
5244152,3,104,13030,55.683900,12.615180
5260949,3,66,13000,55.681337,12.583357
5181554,4,95,14000,55.697442,12.538697
5242879,5,135,19200,55.652763,12.543399
5263643,4,111,15815,55.646950,12.543446
5121283,3,80,12823,55.657161,12.500471
5262516,1,25,3500,55.655457,12.609949
5249740,1,84,4451,55.700997,12.551421
5262429,2,50,8400,55.649554,12.551497
5036698,1,37,5122,55.667178,12.620381
5188889,1,8,4100,55.695462,12.524558
5275735,1,29,7400,55.688463,12.494303
5275713,1,30,7500,55.688463,12.494303
5275711,1,30,7500,55.688463,12.494303
5275739,1,31,6000,55.711297,12.480605
5049672,1,41,6386,55.652406,12.512200
5275437,3,97,15611,55.646029,12.552433
5042716,1,35,7539,55.713941,12.559926
5247994,1,37,6900,55.703754,12.537448
5266789,1,57,8215,55.657871,12.500791
5020108,4,134,17750,55.686692,12.511245
5246766,3,89,13936,55.664493,12.591439
5275327,3,74,13130,55.659972,12.513117
5275914,5,160,23000,55.676226,12.541370
5085150,1,27,5590,55.741074,12.485863
5262326,2,52,10140,55.646395,12.637199
5275894,2,279,40000,55.737706,12.581538
5275266,2,64,12500,55.733989,12.575129
5266731,2,31,7500,55.686710,12.503927
5275714,1,29,7400,55.655730,12.511585
5249766,2,55,9900,55.711877,12.560336
5247638,1,43,6500,55.649554,12.551497
5270474,3,90,16000,55.677717,12.578245
5061339,2,54,12700,55.664897,12.536063
5112271,3,91,12297,55.617810,12.572924
5249734,3,122,12500,55.684919,12.614788
5024243,4,107,14500,55.635753,12.580312
5062039,2,86,12000,55.700269,12.545727
5121291,2,66,11838,55.656761,12.503792
5181575,4,105,14859,55.657196,12.500426
5270980,2,69,11630,55.660841,12.503090
4933804,3,83,12267,55.621063,12.573203
5250949,4,104,14935,55.662742,12.596234
5275418,2,83,15700,55.700668,12.535284
5271364,1,32,6250,55.727220,12.479290
5249741,1,8,5000,55.672638,12.552493
5275968,3,146,26000,55.737286,12.538268
5275340,1,34,6200,55.720895,12.556455
5275970,2,65,11900,55.617290,12.570032
5244746,2,56,11900,55.709572,12.566432
5275267,3,85,16100,55.691000,12.531834
3728881,2,62,12500,55.712030,12.571428
5143983,3,102,14035,55.698748,12.535320
5268101,1,54,10000,55.689953,12.562738
4572076,2,52,7354,55.695959,12.500281
5239954,3,64,12798,55.663095,12.593584
5127687,4,96,13000,55.626185,12.576225
5252433,2,73,11630,55.656761,12.503792
5267433,4,105,17425,55.706699,12.530820
5275951,4,115,19000,55.669016,12.512669
5211868,1,32,6150,55.727220,12.479290
5194789,3,52,12400,55.664505,12.591295
5246108,1,35,6650,55.695462,12.524558
5248582,1,44,7300,55.703754,12.537448
5275900,1,31,7350,55.703613,12.553748
5117815,1,50,10500,55.684119,12.585351
5262444,1,41,6200,55.707601,12.531026
5274117,3,77,13300,55.619150,12.570791
5275417,2,64,12100,55.700668,12.535284
5275893,2,111,24900,55.726972,12.577694
5266718,2,56,10000,55.655898,12.503485
5275899,3,88,13800,55.649703,12.550492
5149579,1,32,7450,55.667515,12.621765
5187916,2,81,12870,55.661812,12.569668
5266222,4,130,16500,55.707105,12.445281
5274037,3,90,15400,55.666593,12.627080
5127686,3,93,12382,55.626185,12.576225
5275901,1,37,5632,55.707792,12.485342
5275727,1,27,7900,55.681189,12.518624
5275709,4,95,16300,55.664593,12.622675
5275736,1,24,7650,55.681189,12.518624
5275731,1,35,7900,55.651556,12.511923
5275729,1,27,7900,55.681189,12.518624
5275715,1,35,7500,55.651556,12.511923
5275717,1,25,7550,55.681189,12.518624
5275728,1,26,8000,55.681189,12.518624
5275719,1,48,10650,55.712077,12.575295
5275733,1,25,7600,55.681189,12.518624
5275718,1,25,7550,55.681189,12.518624
5217949,3,94,14850,55.659896,12.570050
5121282,4,101,14747,55.656909,12.501427
5275699,3,105,17631,55.680505,12.578989
5275724,1,35,8250,55.651556,12.511923
5275732,1,35,7900,55.651556,12.511923
5216831,3,92,13850,55.646950,12.543446
5121279,3,79,12905,55.656761,12.503792
5274105,3,80,13600,55.609727,12.583102
5249778,1,16,3600,55.673427,12.596042
5273981,2,33,10400,55.681072,12.521405
5238047,2,54,12500,55.706647,12.593854
5273993,2,51,10200,55.710460,12.484442
5262325,2,46,9568,55.646606,12.636577
5194819,2,58,11950,55.704081,12.588843
5273961,2,52,11200,55.667881,12.516962
